"Freq [GHz]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","dB(St(FloquetPort2:2,FloquetPort1:2)) []"
4.73748609566185,-0.36110032828685,-1.02441988195418
4.75528364849833,-0.352909219687728,-1.03255514967187
4.77308120133482,-0.345328156730001,-1.04117056656064
4.7908787541713,-0.338315704216443,-1.05024517351049
4.80867630700779,-0.331833779357667,-1.05976014108195
4.82647385984427,-0.32584734275549,-1.06969859830725
4.84427141268076,-0.320324121192603,-1.08004547893034
4.86206896551724,-0.315234358645632,-1.09078738312843
4.87986651835373,-0.31055059237137,-1.10191245297893
4.89766407119021,-0.306247451294623,-1.11341026013257
4.9154616240267,-0.302301474255835,-1.12527170432695
4.93325917686318,-0.2986909459652,-1.13748892153006
4.95105672969967,-0.295395748761927,-1.15005520063978
4.96885428253615,-0.292397228498281,-1.16296490778788
4.98665183537264,-0.289678073061121,-1.17621341740485
5.00444938820912,-0.287222202213713,-1.18979704929883
5.02224694104561,-0.285014667589248,-1.20371301108783
5.04004449388209,-0.283041561798616,-1.21795934540123
5.05784204671858,-0.281289935730322,-1.23253488133553
5.07563959955506,-0.279747723221939,-1.24743918971072
5.09343715239155,-0.278403672372025,-1.26267254172922
5.11123470522803,-0.277247282840663,-1.27823587068881
5.12903225806452,-0.276268748556678,-1.29413073644612
5.146829810901,-0.275458905311356,-1.31035929236742
5.16462736373749,-0.274809182773679,-1.32692425454031
5.18242491657397,-0.274311560510246,-1.34382887305292
5.20022246941046,-0.273958527636587,-1.36107690517701
5.21802002224694,-0.273743045764947,-1.37867259031912
5.23581757508343,-0.273658514947494,-1.39662062662824
5.25361512791991,-0.273698742344727,-1.41492614917105
5.2714126807564,-0.273857913375506,-1.43359470960627
5.28921023359288,-0.274130565129822,-1.45263225730805
5.30700778642937,-0.274511561846621,-1.47204512190527
5.32480533926585,-0.274996072278439,-1.49183999721848
5.34260289210234,-0.275579548782226,-1.51202392659041
5.36040044493882,-0.27625770799044,-1.5326042896175
5.37819799777531,-0.277026512931273,-1.55358879030178
5.39599555061179,-0.277882156478599,-1.57498544665129
5.41379310344828,-0.278821046023804,-1.59680258176656
5.43159065628476,-0.27983978927135,-1.61904881645733
5.44938820912125,-0.280935181069408,-1.64173306344112
5.46718576195773,-0.282104191194378,-1.66486452317954
5.48498331479422,-0.28334395301581,-1.6884526814135
5.5027808676307,-0.284651752974814,-1.71250730846207
5.52057842046719,-0.286025020814544,-1.73703846035139
5.53837597330367,-0.287461320507085,-1.76205648184349
5.55617352614016,-0.288958341825609,-1.78757201143482
5.57397107897664,-0.290513892514967,-1.81359598839483
5.59176863181313,-0.29212589101788,-1.84013966191564
5.60956618464961,-0.29379235971731,-1.86721460244159
5.6273637374861,-0.295511418658633,-1.89483271524701
5.64516129032258,-0.297281279718479,-1.92300625632857
5.66295884315906,-0.29910024118893,-1.95174785067566
5.68075639599555,-0.300966682748955,-1.98107051298031
5.69855394883204,-0.302879060796374,-2.0109876708441
5.71635150166852,-0.304835904115714,-2.04151319053787
5.73414905450501,-0.306835809859261,-2.0726614053647
5.75194660734149,-0.308877439819826,-2.10444714667448
5.76974416017798,-0.31095951697516,-2.13688577757477
5.78754171301446,-0.313080822285575,-2.16999322937816
5.80533926585095,-0.315240191726947,-2.2037860408245
5.82313681868743,-0.31743651354272,-2.23828140011234
5.84093437152392,-0.319668725699293,-2.27349718977131
5.8587319243604,-0.321935813530168,-2.30945203440569
5.87652947719689,-0.324236807554746,-2.34616535133617
5.89432703003337,-0.326570781458918,-2.38365740416757
5.91212458286986,-0.328936850224688,-2.42194935930833
5.92992213570634,-0.33133416839716,-2.46106334546916
5.94771968854283,-0.333761928477548,-2.50102251616897
5.96551724137931,-0.336219359431589,-2.54185111527986
5.9833147942158,-0.338705725303202,-2.58357454564582
6.00111234705228,-0.341220323923769,-2.62621944081619
6.01890989988877,-0.343762485707865,-2.66981373994122
6.03670745272525,-0.346331572526884,-2.71438676588637
6.05450500556173,-0.348926976652336,-2.75996930663322
6.07230255839822,-0.351548119761045,-2.80659370004737
6.0901001112347,-0.354194451995172,-2.85429392211014
6.10789766407119,-0.35686545107005,-2.90310567872892
6.12569521690767,-0.359560621423722,-2.95306650126419
6.14349276974416,-0.362279493402143,-3.0042158459345
6.16129032258065,-0.365021622474671,-3.05659519729233
6.17908787541713,-0.367786588474993,-3.11024817599561
6.19688542825362,-0.370573994862802,-3.16522065114003
6.2146829810901,-0.373383468002473,-3.2215608574603
6.23248053392659,-0.376214656454887,-3.27931951775924
6.25027808676307,-0.379067230279557,-3.33854997098125
6.26807563959956,-0.381940880344406,-3.39930830641109
6.28587319243604,-0.384835317641057,-3.46165350455231
6.30367074527252,-0.38775027260395,-3.52564758532335
6.32146829810901,-0.39068549443225,-3.59135576430208
6.33926585094549,-0.393640750413718,-3.65884661785625
6.35706340378198,-0.396615825250441,-3.72819225811596
6.37486095661847,-0.39961052038659,-3.79946851887853
6.39265850945495,-0.402624653338891,-3.87275515368788
6.41045606229144,-0.405658057030987,-3.94813604750037
6.42825361512792,-0.408710579133237,-4.02569944354159
6.4460511679644,-0.411782081409886,-4.1055381871748
6.46384872080089,-0.41487243907597,-4.18774998884567
6.48164627363737,-0.417981540166717,-4.27243770844462
6.49944382647386,-0.421109284922464,-4.35970966373847
6.51724137931034,-0.424255585192502,-4.44967996587727
6.53503893214683,-0.42742036386148,-4.54246888538207
6.55283648498331,-0.430603554302371,-4.63820325247399
6.5706340378198,-0.433805099860014,-4.73701689612395
6.58843159065629,-0.43702495336961,-4.8390511267933
6.60622914349277,-0.440263076714758,-4.94445526851372
6.62402669632926,-0.443519440429274,-5.0533872467323
6.64182424916574,-0.446794023347683,-5.16601423924377
6.65962180200223,-0.450086812308892,-5.28251339856807
6.67741935483871,-0.453397801917567,-5.40307265533212
6.69521690767519,-0.456726994367699,-5.52789161361356
6.71301446051168,-0.460074399332802,-5.65718255083808
6.73081201334816,-0.463440033926703,-5.79117153673885
6.74860956618465,-0.466823922738861,-5.93009968814454
6.76640711902113,-0.470226097947907,-6.07422457903233
6.78420467185762,-0.473646599516464,-6.22382182845311
6.8020022246941,-0.477085475470209,-6.37918689271748
6.81979977753059,-0.480542782263398,-6.54063709275999
6.83759733036707,-0.484018585232877,-6.70851391304651
6.85539488320356,-0.48751295914169,-6.88318561497095
6.87319243604004,-0.491025988813171,-7.06505021567442
6.89098998887653,-0.494557769855353,-7.25453889295507
6.90878754171301,-0.49810840947525,-7.45211988885891
6.9265850945495,-0.501678027381469,-7.65830299920755
